TOTAL_SCORE,Black,Latino,White
0,0.21420921099607285,0.18181818181818182,0.28797696184305255
1,1.3923598714744734,1.25,0.9359251259899208
2,4.409139593002499,3.659090909090909,2.8077753779697625
3,7.9435915744377015,6.568181818181819,4.967602591792657
4,11.335237415208855,9.613636363636363,7.703383729301656
5,11.406640485540878,11.159090909090908,9.719222462203025
6,11.870760442699035,11.772727272727272,8.999280057595392
7,10.157086754730454,9.727272727272727,9.503239740820735
8,11.281685112459835,11.977272727272727,12.526997840172784
9,8.978936094252052,9.318181818181818,9.863210943124551
10,6.997500892538379,8.5,10.07919366450684
11,5.1231702963227415,5.704545454545454,6.839452843772498
12,3.4094966083541594,3.4318181818181817,6.623470122390208
13,2.3563013209568013,3.0454545454545454,4.463642908567315
14,1.4280614066404855,2.3181818181818183,2.591792656587473
15,1.1245983577293823,1.1363636363636365,1.2239020878329734
16,0.5533737950731882,0.6363636363636364,0.8639308855291578
17,0.01785076758300607,,
